,Accuracy,Accuracy,Accuracy,Macro F1,Macro F1,Macro F1
Method,dpp,random,topk,dpp,random,topk
Shot,,,,,,
1,0.684,0.700,0.684,0.483,0.489,0.483
2,0.690,0.712,0.682,0.486,0.503,0.480
3,0.708,0.724,0.714,0.496,0.510,0.501
4,0.710,0.722,**0.720**,0.499,0.507,**0.507**
5,**0.726**,**0.732**,0.716,**0.509**,**0.517**,0.502
