,Accuracy,Accuracy,Accuracy,Macro F1,Macro F1,Macro F1
Method,dpp,random,topk,dpp,random,topk
Shot,,,,,,
1,0.316,0.378,0.316,0.203,0.269,0.203
2,0.362,0.418,**0.406**,0.262,0.300,**0.290**
3,0.374,**0.426**,0.382,0.267,**0.306**,0.271
4,**0.398**,0.390,0.384,**0.285**,0.279,0.273
5,0.382,0.402,0.372,0.273,0.288,0.261
